"CaptureRun","File","ProviderGuid","RegisteredName","Requested","EmittedRetainedEvents","NativeEvents","XmlEvents","XmlProcessingErrors","EventIds","SelectedFieldNames","WinEventEvents","FirstEventUtc","LastEventUtc","TimeBasis","XmlMinusWinEventFirstSeconds","XmlMinusWinEventLastSeconds"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{b8197c10-845f-40ca-82ab-9341e98cfc2b}","Microsoft-Windows-MediaFoundation-MFCaptureEngine","True","True","4051","4051","0","200;201;202;203;214;215;219;220;231;240;241;242;243;244;245;246;257;258;259;260;261;262;263;264;265;274","dwSinkStreamIndex;dwSourceStreamIndex;dwStreamIndex;FrameReaderSink;HResult;hrStatus;RefTimestamp;SinkStreamIndex;SourceStreamIndex;StreamFlags;StreamIndex;StreamType;Timestamp","4051","2026-08-27T12:33:39.9387929Z","2026-08-27T12:34:18.6409926Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","8.7692071","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{4b7eac67-fc53-448c-a49d-7cc6db524da7}","Microsoft-Windows-MediaFoundation-MFReadWrite","True","True","4895","4895","0","0;1;10;13;15;16;4;5;6;7;9","ActualStreamIndex;Duration;ErrorCode;RequestCounter;Size;StreamFlags;StreamIndex;Timestamp","4895","2026-08-27T12:33:40.6090773Z","2026-08-27T12:34:18.5436386Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","60","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{a4112d1a-6dfa-476e-bb75-e350d24934e1}","Microsoft-Windows-MediaFoundation-MSVProc","True","True","42909","42909","0","105;106;107;108;109;110;111;112;113;114;115;116;133;134;135;136;137;138;139;140;141;142","dstHeight;dstWidth;srcHeight;srcWidth;ThreadCount","42909","2026-08-27T12:33:40.7068030Z","2026-08-27T12:34:18.5999043Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","19.928197","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{f404b94e-27e0-4384-bfe8-1d8d390b0aa3}","Microsoft-Windows-MediaFoundation-Performance","True","True","65109","65109","0","3068;3070;4000;4001;4015;4016;4017;4047;4432;4433;4437;4438;4441;4442;4443;4444;4445;4446;4450;4456;4460;4461;4467;4468;4469;4470;4473;4474;4475;4476;4477;4478;4479;4480;4481;4482;4483","AdjustedTimestamp;bufferSize;Count;duration;Format;Height;HResult;Length;sampleSize;SampleTimestamp;stream;StreamIndex;timestamp;Width","65109","2026-08-27T12:33:39.8918312Z","2026-08-27T12:34:19.1815096Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","16.4241688","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{b20e65ac-c905-4014-8f78-1b6a508142eb}","Microsoft-Windows-MediaFoundation-Performance-Core","True","True","30","30","0","502;503;504;505;506;507;508;509;510;515;516;519;520;531;532;533;534;538;539","cbSize;hResult;m_hnsBufferDuration;wFormatTag","30","2026-08-27T12:33:40.5792000Z","2026-08-27T12:33:40.6151160Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","60","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{bc97b970-d001-482f-8745-b8d7d5759f99}","Microsoft-Windows-MediaFoundation-Platform","True","True","220","220","0","100;101;102;103;104;11;18;19;20;206;300;301;304;305;306","QuerySize","220","2026-08-27T12:33:39.8896170Z","2026-08-27T12:34:18.8417024Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","60","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{b65471e1-019d-436f-bc38-e15fa8e87f53}","Microsoft-Windows-MediaFoundation-PlayAPI","True","False","0","0","0","","","0",,,"Independent Get-WinEvent metadata; no raw payload values; continuity unknown.",,
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{9e22a3ed-7b32-4b99-b6c2-21dd6ace01e1}","Microsoft-Windows-MF-FrameServer","True","True","12566","12566","0","10;11;12;2;20;21;22;24;25;3;31;32;4;5;50;51;52;53;54;55;58;59;6;60;7;8;9","captureTimestamp;Duration;DurationToCompletionInHns;DurationToTriggerInHns;ExpectedFrameDelay;FrameDelayRMSAccumulator;FrameDelayRMSCounter;FramesFree;hnsDuration;hnsTimestamp;MediaStreamCount;StreamId;StreamObject;Streams;StreamType;Timestamp","12566","2026-08-27T12:33:39.9563955Z","2026-08-27T12:34:18.8150736Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","3.8326045","60"
"20260827-133214832-camera-trace-privileged-rgb","camera-front-providers.etl","{4199ee71-d55d-47d7-9f57-34a1d5b2c904}","TerminalServer-MediaFoundationPlugin","True","False","0","0","0","","","0",,,"Independent Get-WinEvent metadata; no raw payload values; continuity unknown.",,
"20260827-135431422-camera-trace-privileged-hello-retry","camera-ir-hello-providers.etl","{a0e3d8ea-c34f-4419-a1db-90435b8b21d0}","Microsoft-Windows-Biometrics","True","True","3","3","0","1019;1605;1606","BiometricSensor;IsolationSensorAdapter;OperationStatus;SensorAdapter;SensorMode;SensorPool","3","2026-08-27T12:57:19.3646104Z","2026-08-27T12:57:20.1224944Z","Independent Get-WinEvent metadata; no raw payload values; continuity unknown.","60","60"
