"Camera","ProfileId","Stream","Width","Height","NominalFPS","Subtype","Status"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},169","Preview","1920","1080","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},169","Preview","2560","1440","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},169","Preview","1280","720","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},169","Preview","640","360","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},169","Photo","4064","2286","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},43","Preview","1920","1440","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},43","Preview","1440","1080","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},43","Preview","640","480","30","NV12","advertised-only"
"Surface Camera Rear","{32440725-961B-4CA3-B5B2-854E719D9E1B},43","Photo","3736","2802","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","1920","1080","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","2560","1440","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","1280","720","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","640","360","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","1920","1440","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","1440","1080","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Preview","640","480","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Record","3840","2160","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Record","2560","1440","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Record","1920","1080","30","NV12","advertised-only"
"Surface Camera Rear","{B4894D81-62B7-4EEC-8740-80658C4A9D3E},0","Record","1280","720","30","NV12","advertised-only"
