"Camera","StreamType","Subtype","Width","Height","NominalFps","FormatMatched","Status","Frames","DurationSeconds","Error"
"front","VideoRecord","NV12","1920","1080","30","True","frames-observed","135","5.0222",
"front","VideoRecord","NV12","2560","1440","30","True","frames-observed","146","5.0013",
"front","VideoRecord","NV12","1280","720","30","True","frames-observed","146","5.0137",
"front","VideoRecord","NV12","640","360","30","True","frames-observed","146","5.0032",
"front","VideoRecord","NV12","1920","1440","30","True","frames-observed","146","5.0141",
"front","VideoRecord","NV12","1440","1080","30","True","frames-observed","112","5.015",
"front","VideoRecord","NV12","640","480","30","True","frames-observed","106","5.0101",
"rear","VideoRecord","NV12","3840","2160","30","True","frames-observed","76","5.0234",
"rear","VideoRecord","NV12","2560","1440","30","True","frames-observed","76","5.0024",
"rear","VideoRecord","NV12","1920","1080","30","True","frames-observed","77","5.0129",
"rear","VideoRecord","NV12","1280","720","30","True","frames-observed","77","5.0017",
"rear","VideoRecord","NV12","640","360","30","True","frames-observed","77","5.004",
"rear","VideoRecord","NV12","1920","1440","30","True","frames-observed","77","5.0088",
"rear","VideoRecord","NV12","1440","1080","30","True","frames-observed","77","5.0168",
"rear","VideoRecord","NV12","640","480","30","True","frames-observed","77","5.0015",
"rear","VideoPreview","NV12","1920","1080","30","True","frames-observed","78","5.0109",
"rear","VideoPreview","NV12","2560","1440","30","True","frames-observed","77","5.0123",
"rear","VideoPreview","NV12","1280","720","30","True","frames-observed","77","5.0156",
"rear","VideoPreview","NV12","640","360","30","True","frames-observed","77","5.0059",
"rear","VideoPreview","NV12","1920","1440","30","True","frames-observed","86","5.0085",
"rear","VideoPreview","NV12","1440","1080","30","True","frames-observed","86","5.0051",
"rear","VideoPreview","NV12","640","480","30","True","frames-observed","84","5.0101",
