"Camera","Stream","Subtype","Width","Height","NominalFPS","FormatMatched","Status","ObservedFrameReferences","DurationSeconds","ObservedFPSLowerBound","ErrorPresent"
"front","VideoRecord","NV12","1920","1080","30","True","frames-observed","137","5.0318","27.227","False"
"front","VideoRecord","NV12","2560","1440","30","True","frames-observed","137","5.0034","27.381","False"
"front","VideoRecord","NV12","1280","720","30","True","frames-observed","118","5.0069","23.567","False"
"front","VideoRecord","NV12","640","360","30","True","frames-observed","119","5.0042","23.78","False"
"front","VideoRecord","NV12","1920","1440","30","True","frames-observed","80","5.0104","15.967","False"
"front","VideoRecord","NV12","1440","1080","30","True","frames-observed","76","5.0091","15.172","False"
"front","VideoRecord","NV12","640","480","30","True","frames-observed","83","5.0241","16.52","False"
"rear","VideoRecord","NV12","3840","2160","30","True","frames-observed","35","5.0171","6.976","False"
"rear","VideoRecord","NV12","2560","1440","30","True","frames-observed","74","5.0125","14.763","False"
"rear","VideoRecord","NV12","1920","1080","30","True","frames-observed","77","5.0085","15.374","False"
"rear","VideoRecord","NV12","1280","720","30","True","frames-observed","77","5.006","15.382","False"
"rear","VideoRecord","NV12","640","360","30","True","frames-observed","76","5.0101","15.169","False"
"rear","VideoRecord","NV12","1920","1440","30","True","frames-observed","76","5.0028","15.191","False"
"rear","VideoRecord","NV12","1440","1080","30","True","frames-observed","76","5.0024","15.193","False"
"rear","VideoRecord","NV12","640","480","30","True","frames-observed","76","5.0007","15.198","False"
"rear","VideoPreview","NV12","1920","1080","30","True","frames-observed","76","5.0087","15.174","False"
"rear","VideoPreview","NV12","2560","1440","30","True","frames-observed","76","5.0055","15.183","False"
"rear","VideoPreview","NV12","1280","720","30","True","frames-observed","76","5.0138","15.158","False"
"rear","VideoPreview","NV12","640","360","30","True","frames-observed","76","5.011","15.167","False"
"rear","VideoPreview","NV12","1920","1440","30","True","frames-observed","77","5.0117","15.364","False"
"rear","VideoPreview","NV12","1440","1080","30","True","frames-observed","79","5.0093","15.771","False"
"rear","VideoPreview","NV12","640","480","30","True","frames-observed","77","5.0023","15.393","False"
